% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.0352143	1	2	2	3.23343e-13	681.668	0
0.0352143	1	3	3	5.17603e-14	109.12	0
0.0362143	1	1	1	1.22096e-13	257.4	0
0.0362143	1	2	2	3.23326e-13	681.631	0
0.0362143	1	3	3	5.17556e-14	109.11	0
0.0372143	1	1	1	1.22101e-13	257.412	0
0.0372143	1	2	2	3.23309e-13	681.595	0
0.0372143	1	3	3	5.17509e-14	109.101	0
0.0382143	1	1	1	1.22107e-13	257.424	0
0.0382143	1	2	2	3.23292e-13	681.558	0
0.0382143	1	3	3	5.17462e-14	109.091	0
0.0392143	1	1	1	1.22112e-13	257.436	0
0.0392143	1	2	2	3.23274e-13	681.522	0
0.0392143	1	3	3	5.17416e-14	109.081	0
0.0402143	1	1	1	1.22118e-13	257.448	0
0.0402143	1	2	2	3.23257e-13	681.485	0
0.0402143	1	3	3	5.17369e-14	109.071	0
0.0412143	1	1	1	1.22124e-13	257.459	0
0.0412143	1	2	2	3.2324e-13	681.449	0
0.0412143	1	3	3	5.17322e-14	109.061	0
0.0422143	1	1	1	1.22129e-13	257.471	0
0.0422143	1	2	2	3.23222e-13	681.412	0
0.0422143	1	3	3	5.17275e-14	109.051	0
0.0432143	1	1	1	1.22135e-13	257.483	0
0.0432143	1	2	2	3.23205e-13	681.376	0
0.0432143	1	3	3	5.17229e-14	109.041	0
0.0442143	1	1	1	1.22141e-13	257.495	0
0.0442143	1	2	2	3.23188e-13	681.339	0
0.0442143	1	3	3	5.17182e-14	109.032	0
0.0452143	1	1	1	1.22146e-13	257.507	0
0.0452143	1	2	2	3.2317e-13	681.303	0
0.0452143	1	3	3	5.17135e-14	109.022	0
0.0462143	1	1	1	1.22152e-13	257.519	0
0.0462143	1	2	2	3.23153e-13	681.266	0
0.0462143	1	3	3	5.17088e-14	109.012	0
0.0472143	1	1	1	1.22158e-13	257.531	0
0.0472143	1	2	2	3.23136e-13	681.23	0
0.0472143	1	3	3	5.17042e-14	109.002	0
0.0482143	1	1	1	1.22163e-13	257.543	0
0.0482143	1	2	2	3.23118e-13	681.193	0
0.0482143	1	3	3	5.16995e-14	108.992	0
0.0492143	1	1	1	1.22169e-13	257.554	0
0.0492143	1	2	2	3.23101e-13	681.157	0
0.0492143	1	3	3	5.16948e-14	108.982	0
0.0502143	1	1	1	1.22174e-13	257.566	0
0.0502143	1	2	2	3.23084e-13	681.12	0
0.0502143	1	3	3	5.16902e-14	108.972	0
0.0512143	1	1	1	1.2218e-13	257.578	0
0.0512143	1	2	2	3.23066e-13	681.083	0
0.0512143	1	3	3	5.16855e-14	108.963	0
0.0522143	1	1	1	1.22186e-13	257.59	0
0.0522143	1	2	2	3.23049e-13	681.047	0
0.0522143	1	3	3	5.16808e-14	108.953	0
0.0532143	1	1	1	1.22191e-13	257.602	0
0.0532143	1	2	2	3.23032e-13	681.01	0
0.0532143	1	3	3	5.16761e-14	108.943	0
0.0542143	1	1	1	1.22197e-13	257.614	0
0.0542143	1	2	2	3.23014e-13	680.974	0
0.0542143	1	3	3	5.16715e-14	108.933	0
0.0552143	1	1	1	1.22203e-13	257.626	0
0.0552143	1	2	2	3.22997e-13	680.937	0
0.0552143	1	3	3	5.16668e-14	108.923	0
0.0562143	1	1	1	1.22208e-13	257.638	0
0.0562143	1	2	2	3.2298e-13	680.901	0
0.0562143	1	3	3	5.16621e-14	108.913	0
0.0572143	1	1	1	1.22214e-13	257.65	0
0.0572143	1	2	2	3.22962e-13	680.864	0
0.0572143	1	3	3	5.16575e-14	108.904	0
0.0582143	1	1	1	1.2222e-13	257.661	0
0.0582143	1	2	2	3.22945e-13	680.828	0
0.0582143	1	3	3	5.16528e-14	108.894	0
0.0592143	1	1	1	1.22225e-13	257.673	0
0.0592143	1	2	2	3.22928e-13	680.791	0
0.0592143	1	3	3	5.16481e-14	108.884	0
0.0602143	1	1	1	1.22231e-13	257.685	0
0.0602143	1	2	2	3.2291e-13	680.755	0
0.0602143	1	3	3	5.16435e-14	108.874	0
0.0612143	1	1	1	1.22236e-13	257.697	0
0.0612143	1	2	2	3.22893e-13	680.718	0
0.0612143	1	3	3	5.16388e-14	108.864	0
0.0622143	1	1	1	1.22242e-13	257.709	0
0.0622143	1	2	2	3.22876e-13	680.682	0
0.0622143	1	3	3	5.16342e-14	108.854	0
0.0632143	1	1	1	1.22248e-13	257.721	0
0.0632143	1	2	2	3.22858e-13	680.645	0
0.0632143	1	3	3	5.16295e-14	108.845	0
0.0642143	1	1	1	1.22253e-13	257.733	0
0.0642143	1	2	2	3.22841e-13	680.609	0
0.0642143	1	3	3	5.16248e-14	108.835	0
0.0652143	1	1	1	1.22259e-13	257.745	0
0.0652143	1	2	2	3.22824e-13	680.572	0
0.0652143	1	3	3	5.16202e-14	108.825	0
0.0662143	1	1	1	1.22265e-13	257.757	0
0.0662143	1	2	2	3.22806e-13	680.536	0
0.0662143	1	3	3	5.16155e-14	108.815	0
0.0672143	1	1	1	1.2227e-13	257.768	0
0.0672143	1	2	2	3.22789e-13	680.499	0
0.0672143	1	3	3	5.16108e-14	108.805	0
0.0682143	1	1	1	1.22276e-13	257.78	0
0.0682143	1	2	2	3.22772e-13	680.463	0
0.0682143	1	3	3	5.16062e-14	108.795	0
0.0692143	1	1	1	1.22282e-13	257.792	0
0.0692143	1	2	2	3.22755e-13	680.426	0
0.0692143	1	3	3	5.16015e-14	108.786	0
0.0702143	1	1	1	1.22287e-13	257.804	0
0.0702143	1	2	2	3.22737e-13	680.39	0
0.0702143	1	3	3	5.15969e-14	108.776	0
0.0712143	1	1	1	1.22293e-13	257.816	0
0.0712143	1	2	2	3.2272e-13	680.353	0
0.0712143	1	3	3	5.15922e-14	108.766	0
0.0722143	1	1	1	1.22298e-13	257.828	0
0.0722143	1	2	2	3.22703e-13	680.317	0
0.0722143	1	3	3	5.15875e-14	108.756	0
0.0732143	1	1	1	1.22304e-13	257.84	0
0.0732143	1	2	2	3.22685e-13	680.28	0
0.0732143	1	3	3	5.15829e-14	108.746	0
0.0742143	1	1	1	1.2231e-13	257.852	0
0.0742143	1	2	2	3.22668e-13	680.244	0
0.0742143	1	3	3	5.15782e-14	108.736	0
0.0752143	1	1	1	1.22315e-13	257.864	0
0.0752143	1	2	2	3.22651e-13	680.207	0
0.0752143	1	3	3	5.15736e-14	108.727	0
0.0762143	1	1	1	1.22321e-13	257.875	0
0.0762143	1	2	2	3.22633e-13	680.171	0
0.0762143	1	3	3	5.15689e-14	108.717	0
0.0772143	1	1	1	1.22327e-13	257.887	0
0.0772143	1	2	2	3.22616e-13	680.134	0
0.0772143	1	3	3	5.15643e-14	108.707	0
0.0782143	1	1	1	1.22332e-13	257.899	0
0.0782143	1	2	2	3.22599e-13	680.098	0
0.0782143	1	3	3	5.15596e-14	108.697	0
0.0792143	1	1	1	1.22338e-13	257.911	0
0.0792143	1	2	2	3.22581e-13	680.061	0
0.0792143	1	3	3	5.1555e-14	108.687	0
